timestamp=1399056969997;power=30.974889454018555
timestamp=1399056971010;power=31.408736667010277
timestamp=1399056972009;power=31.38436971375889
timestamp=1399056973010;power=32.2508917458399
timestamp=1399056974000;power=31.291903122703673
timestamp=1399056975009;power=31.276791883020213
timestamp=1399056976009;power=31.299351512462415
timestamp=1399056977009;power=31.284184928567555
timestamp=1399056978009;power=31.294962462419054
timestamp=1399056979019;power=31.328673924536556
timestamp=1399056980009;power=31.324833682659253
timestamp=1399056981009;power=31.28680749213367
timestamp=1399056982009;power=31.276737627487936
timestamp=1399056983009;power=31.344518943500375
timestamp=1399056984009;power=31.24192343740013
timestamp=1399056985009;power=32.074068978326125
timestamp=1399056986010;power=31.30599559826943
timestamp=1399056987010;power=31.311738789917232
=====
timestamp=1399056988010;power=31.348884790331553
timestamp=1399056989009;power=31.298095857768796
timestamp=1399056990010;power=31.310383911168305
timestamp=1399056991009;power=31.43664495279227
timestamp=1399056992009;power=46.92284048457931
timestamp=1399056993009;power=51.37775640039677
timestamp=1399056994009;power=45.37529656201502
timestamp=1399056995009;power=42.871116222362474
timestamp=1399056996009;power=42.89714779005245
timestamp=1399056997009;power=42.90325900048656
timestamp=1399056998009;power=44.77836110601761
timestamp=1399056999009;power=50.62316362108686
timestamp=1399057000009;power=44.35130939075877
timestamp=1399057001009;power=42.97002200279107
timestamp=1399057002009;power=42.993371277328485
timestamp=1399057003009;power=42.93271703666184
timestamp=1399057004009;power=49.93090230600082
timestamp=1399057005009;power=46.46502533586368
timestamp=1399057006009;power=43.408203788459105
timestamp=1399057007009;power=42.75683075965972
timestamp=1399057008009;power=42.90017506734474
timestamp=1399057009010;power=42.919887885439515
timestamp=1399057010009;power=50.811547071830745
timestamp=1399057011009;power=46.56195379786229
timestamp=1399057012009;power=46.287841095540884
timestamp=1399057013009;power=42.9801601639393
timestamp=1399057014009;power=43.05872454439013
timestamp=1399057015009;power=42.859658831802165
timestamp=1399057016009;power=45.680717377790884
timestamp=1399057017009;power=50.01533403848156
timestamp=1399057018009;power=44.27986930481177
