timestamp=1399057610918;power=30.974889454018555
timestamp=1399057611921;power=31.534937942024
timestamp=1399057612929;power=31.41862494828935
timestamp=1399057613929;power=32.17354569483969
timestamp=1399057614929;power=31.299860101165695
timestamp=1399057615929;power=31.310812238833957
timestamp=1399057616930;power=31.292251917326166
timestamp=1399057617930;power=31.30588269767274
timestamp=1399057618929;power=31.293834018238634
timestamp=1399057619929;power=31.34225582823902
timestamp=1399057620929;power=31.449979639014604
timestamp=1399057621929;power=31.287763326760626
timestamp=1399057622929;power=31.442075127789803
timestamp=1399057623930;power=31.321126136982706
timestamp=1399057624929;power=31.36692136269689
timestamp=1399057625929;power=31.270905829729664
timestamp=1399057626929;power=31.350361473194692
timestamp=1399057627929;power=31.337458704274475
=====
timestamp=1399057628930;power=31.315088006912013
timestamp=1399057629929;power=31.339446795404736
timestamp=1399057630929;power=31.290457444389876
timestamp=1399057631929;power=31.408478989165797
timestamp=1399057632929;power=32.80479876761483
timestamp=1399057633929;power=56.26615395465208
timestamp=1399057634929;power=61.69886136294696
timestamp=1399057635930;power=60.99666622990971
timestamp=1399057636929;power=59.037275084234906
timestamp=1399057637929;power=59.548513294909085
timestamp=1399057638929;power=60.92394603812858
timestamp=1399057639929;power=60.46869979156672
timestamp=1399057640929;power=57.576027556216005
timestamp=1399057641929;power=60.89961215889936
timestamp=1399057642929;power=60.78467598728582
timestamp=1399057643929;power=60.18758403536812
timestamp=1399057644929;power=56.79497040482089
timestamp=1399057645930;power=61.16495561843459
timestamp=1399057646929;power=60.158694469086186
timestamp=1399057647930;power=57.770317580466255
timestamp=1399057648929;power=60.13449692447651
timestamp=1399057649929;power=61.166044725283236
timestamp=1399057650929;power=60.640376850467106
timestamp=1399057651929;power=56.33467378302663
timestamp=1399057652929;power=59.39483599809541
timestamp=1399057653929;power=55.69054409221435
timestamp=1399057654929;power=56.474132533050664
timestamp=1399057655929;power=55.586565492016504
timestamp=1399057656929;power=55.305357716813056
timestamp=1399057657929;power=56.051994992550384
timestamp=1399057658929;power=56.43490011051563
