timestamp=1399057611919;power=32.938912163093164
timestamp=1399057612929;power=34.91118044074378
timestamp=1399057613929;power=32.902909374640565
timestamp=1399057614929;power=33.448756705223346
timestamp=1399057615929;power=33.40616856918375
timestamp=1399057616929;power=32.25167482033822
timestamp=1399057617929;power=31.07441396519686
timestamp=1399057618929;power=32.85078981446189
timestamp=1399057619929;power=30.99508652156665
timestamp=1399057620929;power=31.2187283915935
timestamp=1399057621928;power=32.931416997747434
timestamp=1399057622929;power=31.38470514557895
timestamp=1399057623929;power=32.54660741045985
timestamp=1399057624929;power=31.3536413678166
timestamp=1399057625929;power=32.82202224342395
timestamp=1399057626928;power=30.97561208906431
timestamp=1399057627929;power=33.81073419923233
timestamp=1399057628929;power=31.324678835830362
=====
timestamp=1399057629928;power=31.143798400463815
timestamp=1399057630929;power=33.01408043982632
timestamp=1399057631929;power=37.22265910610754
timestamp=1399057632928;power=49.096235766412605
timestamp=1399057633929;power=48.5155770753946
timestamp=1399057634928;power=48.9686879815697
timestamp=1399057635928;power=48.15277641293725
timestamp=1399057636929;power=49.78882370408198
timestamp=1399057637929;power=48.669509575240674
timestamp=1399057638929;power=48.542719971863384
timestamp=1399057639928;power=49.57939232095338
timestamp=1399057640928;power=48.77110589163219
timestamp=1399057641929;power=49.50626030301356
timestamp=1399057642928;power=48.67979918084536
timestamp=1399057643929;power=49.338377264200304
timestamp=1399057644929;power=48.75282288714723
timestamp=1399057645928;power=49.834617864604716
timestamp=1399057646929;power=48.812762547585464
timestamp=1399057647929;power=49.37704451894633
timestamp=1399057648928;power=50.789926511271155
timestamp=1399057649929;power=50.26886088344997
timestamp=1399057650929;power=50.32323332569787
timestamp=1399057651928;power=49.83041537305249
timestamp=1399057652928;power=50.68304458694797
timestamp=1399057653929;power=48.43644459271269
timestamp=1399057654929;power=50.61203547711186
timestamp=1399057655928;power=48.42799628495305
timestamp=1399057656928;power=48.78221866568524
timestamp=1399057657928;power=49.740170116317515
timestamp=1399057658929;power=48.87354703879966
timestamp=1399057659928;power=50.21713124516789
timestamp=1399057660929;power=50.160895842747344
timestamp=1399057661929;power=41.31209497065032
timestamp=1399057662928;power=28.168196095882372
timestamp=1399057663929;power=28.85469691949929
timestamp=1399057664929;power=28.67000391447711
timestamp=1399057665928;power=28.77160023086862
timestamp=1399057666929;power=28.624686325161324
timestamp=1399057667928;power=29.697686397617755
timestamp=1399057668929;power=27.695675744187703
timestamp=1399057669928;power=27.645354157198902
timestamp=1399057670928;power=27.588273924002394
timestamp=1399057671929;power=27.59670056943444
timestamp=1399057672929;power=27.616824871764443
timestamp=1399057673929;power=27.456675283900385
timestamp=1399057674929;power=27.39892351854862
timestamp=1399057675928;power=27.70135127401597
timestamp=1399057676928;power=27.55666858805032
timestamp=1399057677929;power=27.63450133107691
timestamp=1399057678929;power=27.51784969701118
timestamp=1399057679928;power=27.37970903397735
timestamp=1399057680929;power=27.509466376234307
timestamp=1399057681929;power=27.217328226371645
timestamp=1399057682929;power=27.915526706886517
timestamp=1399057683928;power=28.21225727019801
timestamp=1399057684928;power=28.105267034236885
timestamp=1399057685929;power=28.625639467575233
timestamp=1399057686929;power=28.561129056015762
timestamp=1399057687928;power=28.47157699376363
timestamp=1399057688928;power=32.67159904064727
timestamp=1399057689928;power=28.214640126232776
