timestamp=1399057370559;power=30.974889454018555
timestamp=1399057371569;power=31.579418775055444
timestamp=1399057372569;power=31.41323072949159
timestamp=1399057373569;power=32.23775973249718
timestamp=1399057374570;power=31.336627143064685
timestamp=1399057375569;power=31.341753194517505
timestamp=1399057376570;power=31.31100013535752
timestamp=1399057377569;power=31.27338274336331
timestamp=1399057378569;power=31.297639698491086
timestamp=1399057379569;power=31.25689035015526
timestamp=1399057380570;power=31.487987361916453
timestamp=1399057381570;power=31.26324466878534
timestamp=1399057382570;power=31.30894574165243
timestamp=1399057383570;power=31.27536453963072
timestamp=1399057384570;power=31.316330396339765
timestamp=1399057385570;power=31.336959409752605
timestamp=1399057386570;power=31.287116050026114
timestamp=1399057387570;power=31.291580155097332
timestamp=1399057388570;power=31.327910006647045
=====
timestamp=1399057389570;power=31.335784190188026
timestamp=1399057390570;power=31.399578192835563
timestamp=1399057391569;power=31.373433086742057
timestamp=1399057392569;power=32.82579685801091
timestamp=1399057393571;power=61.846005513050805
timestamp=1399057394569;power=67.10107451068602
timestamp=1399057395569;power=66.7961214928944
timestamp=1399057396569;power=63.88147340255024
timestamp=1399057397569;power=64.74719682718884
timestamp=1399057398569;power=67.32046547816174
timestamp=1399057399571;power=66.04383500447533
timestamp=1399057400571;power=62.086829501367696
timestamp=1399057401572;power=67.44887984585553
timestamp=1399057402569;power=67.69147990015828
timestamp=1399057403569;power=64.90732692650091
timestamp=1399057404571;power=63.373838268882395
timestamp=1399057405571;power=67.58572684725704
timestamp=1399057406570;power=65.89045443966543
timestamp=1399057407571;power=61.531631800191434
timestamp=1399057408569;power=66.98250119936036
timestamp=1399057409569;power=68.01147950998289
timestamp=1399057410571;power=66.23359421988755
timestamp=1399057411571;power=60.37424923662453
timestamp=1399057412570;power=64.7778905109308
timestamp=1399057413569;power=62.1401357025101
timestamp=1399057414571;power=61.56007092107461
timestamp=1399057415569;power=61.11120952086617
timestamp=1399057416572;power=62.04510141708376
timestamp=1399057417569;power=60.10731518680356
timestamp=1399057418570;power=61.42629448693303
