timestamp=1399057371559;power=31.31289452962205
timestamp=1399057372568;power=31.273360781772475
timestamp=1399057373578;power=33.03526619620818
timestamp=1399057374578;power=30.893706828451027
timestamp=1399057375578;power=32.41749993803055
timestamp=1399057376578;power=31.216887093748454
timestamp=1399057377578;power=31.42142279084198
timestamp=1399057378579;power=30.213444755179687
timestamp=1399057379569;power=31.740075629673346
timestamp=1399057380570;power=30.545701535736825
timestamp=1399057381569;power=30.844121760600245
timestamp=1399057382570;power=32.30771526181047
timestamp=1399057383569;power=30.3705832795089
timestamp=1399057384569;power=32.335096443882726
timestamp=1399057385568;power=31.200878633660324
timestamp=1399057386579;power=32.44366802975783
timestamp=1399057387579;power=31.25635585461526
timestamp=1399057388569;power=32.48092723321058
timestamp=1399057389570;power=31.046534549590067
=====
timestamp=1399057390569;power=30.508658955559962
timestamp=1399057391569;power=44.915016619876056
timestamp=1399057392568;power=44.3687143804139
timestamp=1399057393578;power=48.62399702497659
timestamp=1399057394578;power=48.01632541145535
timestamp=1399057395578;power=48.07940610939396
timestamp=1399057396578;power=48.68985050084657
timestamp=1399057397578;power=48.56984120600457
timestamp=1399057398578;power=48.019466448955725
timestamp=1399057399578;power=48.11248448362207
timestamp=1399057400578;power=49.25328764143146
timestamp=1399057401578;power=48.55619393962362
timestamp=1399057402579;power=49.37451002661844
timestamp=1399057403569;power=48.43897908504058
timestamp=1399057404568;power=49.92728930202964
timestamp=1399057405578;power=48.59698410247335
timestamp=1399057406579;power=49.19250315021727
timestamp=1399057407579;power=48.664245629636596
timestamp=1399057408569;power=49.96307546720635
timestamp=1399057409569;power=48.84488777939967
timestamp=1399057410568;power=48.692796577398646
timestamp=1399057411578;power=49.8716171201264
timestamp=1399057412579;power=49.02221559304165
timestamp=1399057413569;power=48.84187671586482
timestamp=1399057414569;power=48.565747026090285
timestamp=1399057415568;power=48.41508553771013
timestamp=1399057416578;power=48.22378552277336
timestamp=1399057417578;power=49.506563575599806
timestamp=1399057418579;power=48.30894013252497
timestamp=1399057419578;power=48.95309110570576
timestamp=1399057420578;power=50.50246742416767
timestamp=1399057421578;power=38.28818567554583
timestamp=1399057422578;power=26.285458218156297
timestamp=1399057423579;power=28.105483657512774
timestamp=1399057424569;power=27.753600808160176
timestamp=1399057425568;power=27.53437805296144
timestamp=1399057426578;power=27.628002632800268
timestamp=1399057427579;power=29.361292112491157
timestamp=1399057428568;power=27.5772261369321
timestamp=1399057429579;power=27.629259047800417
timestamp=1399057430568;power=27.67377513099542
timestamp=1399057431579;power=27.524586680891296
timestamp=1399057432568;power=27.98036205335982
timestamp=1399057433578;power=27.497248823474223
timestamp=1399057434579;power=27.39493765027228
timestamp=1399057435568;power=27.817547999202336
timestamp=1399057436578;power=27.536197688478897
timestamp=1399057437578;power=27.535006260461515
timestamp=1399057438579;power=27.30696693793413
timestamp=1399057439568;power=27.20703862076696
timestamp=1399057440578;power=27.409516396739548
timestamp=1399057441579;power=27.493869500370366
timestamp=1399057442569;power=27.282705131034668
timestamp=1399057443569;power=27.060081390404484
timestamp=1399057444568;power=27.11711829894582
timestamp=1399057445579;power=28.03739896190115
timestamp=1399057446569;power=28.57683424351765
timestamp=1399057447578;power=28.519060815838298
timestamp=1399057448578;power=30.771249690591493
timestamp=1399057449579;power=28.883291191916516
