timestamp=1399057051109;power=32.125578411443776
timestamp=1399057052118;power=31.39885064549444
timestamp=1399057053118;power=31.254124634873616
timestamp=1399057054118;power=30.08420730878486
timestamp=1399057055118;power=29.989954521445952
timestamp=1399057056118;power=30.653666576439445
timestamp=1399057057119;power=29.53803504328824
timestamp=1399057058119;power=30.070105133524542
timestamp=1399057059118;power=30.25222032156365
timestamp=1399057060119;power=30.08869141059574
timestamp=1399057061119;power=29.9064462485911
timestamp=1399057062118;power=29.837690020824223
timestamp=1399057063119;power=30.412521545720832
timestamp=1399057064118;power=29.888293218071677
timestamp=1399057065119;power=30.638156349885858
timestamp=1399057066119;power=29.63690190640356
timestamp=1399057067118;power=29.517325858113338
timestamp=1399057068119;power=30.17592560379587
timestamp=1399057069118;power=29.71209184546431
=====
timestamp=1399057070118;power=29.94548176290613
timestamp=1399057071118;power=36.41619231230381
timestamp=1399057072118;power=45.5372019928818
timestamp=1399057073118;power=46.92395921813452
timestamp=1399057074119;power=48.65150818101438
timestamp=1399057075118;power=49.37814929765335
timestamp=1399057076119;power=50.21407685697787
timestamp=1399057077118;power=49.88608755495573
timestamp=1399057078118;power=49.6639403855325
timestamp=1399057079119;power=49.665131813549884
timestamp=1399057080119;power=49.52608133275732
timestamp=1399057081118;power=50.08746055222129
timestamp=1399057082118;power=49.20383254754621
timestamp=1399057083119;power=49.59836851992118
timestamp=1399057084118;power=49.66404869717044
timestamp=1399057085119;power=50.285584200348524
timestamp=1399057086119;power=51.23673368011791
timestamp=1399057087118;power=50.80359543997969
timestamp=1399057088119;power=51.260822188396666
timestamp=1399057089118;power=51.42777374712361
timestamp=1399057090119;power=50.508402901927006
timestamp=1399057091118;power=50.206105120425185
timestamp=1399057092118;power=50.65588002815161
timestamp=1399057093118;power=50.24535725801611
timestamp=1399057094119;power=50.61745105900906
timestamp=1399057095118;power=50.65462361315146
timestamp=1399057096118;power=50.26875257181202
timestamp=1399057097119;power=50.77034376713087
timestamp=1399057098118;power=50.342101213027725
timestamp=1399057099118;power=50.65098434211654
timestamp=1399057100118;power=50.78960157635732
timestamp=1399057101118;power=41.14148247856087
timestamp=1399057102118;power=27.567673050465437
timestamp=1399057103119;power=28.1135637057034
timestamp=1399057104119;power=28.23636744080435
timestamp=1399057105118;power=29.292925806620875
timestamp=1399057106118;power=34.557781228459966
timestamp=1399057107119;power=28.00936791000123
timestamp=1399057108118;power=27.806500212132047
timestamp=1399057109119;power=27.744004397038335
timestamp=1399057110119;power=27.564791960896123
timestamp=1399057111119;power=27.69062842185951
timestamp=1399057112118;power=27.572027178310787
timestamp=1399057113119;power=27.450284897261685
timestamp=1399057114119;power=27.695155848325573
timestamp=1399057115119;power=27.39872855760032
timestamp=1399057116118;power=27.411054421998355
timestamp=1399057117119;power=27.494822642784275
timestamp=1399057118118;power=27.350486554060048
timestamp=1399057119119;power=27.326289734143348
timestamp=1399057120119;power=27.3538658771639
timestamp=1399057121118;power=27.313270675262473
timestamp=1399057122118;power=27.343966193455817
timestamp=1399057123118;power=27.244861044737018
timestamp=1399057124119;power=27.104944070840908
timestamp=1399057125119;power=27.109493159634557
timestamp=1399057126119;power=27.304194160002766
timestamp=1399057127119;power=27.115688585324957
timestamp=1399057128118;power=27.349728372594438
timestamp=1399057129118;power=27.276834640258098
