timestamp=1399057291449;power=34.95589148488708
timestamp=1399057292458;power=30.865805750516643
timestamp=1399057293459;power=31.424022270152637
timestamp=1399057294458;power=31.802029886577337
timestamp=1399057295459;power=30.39001438735606
timestamp=1399057296458;power=30.99181551010074
timestamp=1399057297459;power=30.647492813076635
timestamp=1399057298459;power=30.809592010423685
timestamp=1399057299458;power=30.30282351881111
timestamp=1399057300458;power=31.72270244294712
timestamp=1399057301458;power=30.338782982608528
timestamp=1399057302458;power=30.370171695284714
timestamp=1399057303458;power=31.00758568458539
timestamp=1399057304459;power=30.107515973270417
timestamp=1399057305458;power=31.092372034767983
timestamp=1399057306459;power=30.291060874930384
timestamp=1399057307458;power=30.67996464213226
timestamp=1399057308458;power=30.290865913982085
=====
timestamp=1399057309458;power=31.611011481899226
timestamp=1399057310459;power=30.36456115243921
timestamp=1399057311458;power=38.3799906198672
timestamp=1399057312459;power=47.87032132350678
timestamp=1399057313458;power=47.438417836041125
timestamp=1399057314459;power=49.52454330749852
timestamp=1399057315458;power=50.24546556965405
timestamp=1399057316459;power=50.72511282712544
timestamp=1399057317459;power=49.718854385970126
timestamp=1399057318459;power=50.640673074184264
timestamp=1399057319458;power=49.46451699774993
timestamp=1399057320458;power=49.674100017171654
timestamp=1399057321459;power=50.5020341776159
timestamp=1399057322459;power=49.38111703653302
timestamp=1399057323458;power=50.03209164290429
timestamp=1399057324459;power=49.430680442056214
timestamp=1399057325458;power=51.042942497508434
timestamp=1399057326459;power=51.0902313586348
timestamp=1399057327458;power=52.11015872849865
timestamp=1399057328458;power=50.95250227982516
timestamp=1399057329459;power=51.55382683136288
timestamp=1399057330458;power=51.37104011116852
timestamp=1399057331458;power=50.42389816200306
timestamp=1399057332459;power=51.18140809545609
timestamp=1399057333459;power=50.81128556627372
timestamp=1399057334458;power=50.99108288526082
timestamp=1399057335458;power=50.4778156953716
timestamp=1399057336459;power=51.275899168398475
timestamp=1399057337459;power=50.50994092718581
timestamp=1399057338458;power=50.55211747900122
timestamp=1399057339458;power=51.39946108496503
timestamp=1399057340458;power=50.62425302987195
timestamp=1399057341459;power=36.93643477167662
timestamp=1399057342459;power=27.937037398182202
timestamp=1399057343458;power=28.248455019598907
timestamp=1399057344459;power=27.702954286257544
timestamp=1399057345458;power=28.333544642367745
timestamp=1399057346459;power=30.880037899742486
timestamp=1399057347458;power=29.2545618244611
timestamp=1399057348459;power=27.59667890710685
timestamp=1399057349458;power=27.781220275835906
timestamp=1399057350458;power=27.69922836591227
timestamp=1399057351459;power=27.474113457609374
timestamp=1399057352459;power=27.495689135887826
timestamp=1399057353459;power=27.584786289260595
timestamp=1399057354458;power=28.3220202840905
timestamp=1399057355458;power=28.154310543897946
timestamp=1399057356459;power=28.72342321431111
timestamp=1399057357459;power=28.17861567545259
timestamp=1399057358458;power=27.850344763171794
timestamp=1399057359458;power=27.30553722431327
timestamp=1399057360458;power=27.205002361973612
timestamp=1399057361459;power=27.241806656546995
timestamp=1399057362459;power=27.563275597964907
timestamp=1399057363458;power=27.61119266659135
timestamp=1399057364458;power=27.133278395327068
timestamp=1399057365458;power=27.071150839802367
timestamp=1399057366458;power=27.028497716780002
timestamp=1399057367459;power=27.682786659272363
timestamp=1399057368459;power=27.130072370843926
timestamp=1399057369459;power=27.192264913351394
