timestamp=1399057450673;power=30.974889454018555
timestamp=1399057451680;power=31.653582480470263
timestamp=1399057452689;power=31.455132499500785
timestamp=1399057453690;power=32.2084070439797
timestamp=1399057454689;power=31.306110634144602
timestamp=1399057455689;power=31.439988336015155
timestamp=1399057456689;power=31.298990229393336
timestamp=1399057457690;power=31.28304219284653
timestamp=1399057458689;power=31.392512503815045
timestamp=1399057459689;power=31.383071382079088
timestamp=1399057460690;power=31.346936474903067
timestamp=1399057461689;power=31.30525256899466
timestamp=1399057462689;power=31.269439853948725
timestamp=1399057463680;power=31.317681917229187
timestamp=1399057464680;power=31.315970308192544
timestamp=1399057465690;power=31.43522585316422
timestamp=1399057466689;power=31.304121515997227
timestamp=1399057467690;power=31.284217249102884
=====
timestamp=1399057468690;power=31.300385443296634
timestamp=1399057469689;power=31.30573814807745
timestamp=1399057470690;power=31.43583415527162
timestamp=1399057471689;power=31.403326055298
timestamp=1399057472689;power=46.57977510444725
timestamp=1399057473689;power=50.92830276531167
timestamp=1399057474689;power=45.46757182729896
timestamp=1399057475689;power=42.36759800178996
timestamp=1399057476689;power=42.589582579108416
timestamp=1399057477689;power=42.768151700932165
timestamp=1399057478690;power=42.90409192393486
timestamp=1399057479689;power=51.24494337715684
timestamp=1399057480689;power=44.85655910686511
timestamp=1399057481690;power=42.551422903961864
timestamp=1399057482689;power=42.733834834536225
timestamp=1399057483689;power=42.816322602483865
timestamp=1399057484690;power=45.84551167564763
timestamp=1399057485689;power=49.44552047562891
timestamp=1399057486689;power=44.16162885854476
timestamp=1399057487689;power=42.733236751665444
timestamp=1399057488689;power=42.76052927067484
timestamp=1399057489690;power=42.56267450934898
timestamp=1399057490689;power=50.04265346589362
timestamp=1399057491689;power=45.987214877120905
timestamp=1399057492689;power=47.30428472288068
timestamp=1399057493689;power=42.484897035676546
timestamp=1399057494689;power=42.76658238296746
timestamp=1399057495689;power=42.68373670321331
timestamp=1399057496690;power=42.74356397788503
timestamp=1399057497689;power=51.49870301691537
timestamp=1399057498689;power=45.253688415006025
